no,iso_code,continent,location,date,total_cases
1,GTM,North America,Guatemala,1/5/2020,0
2,GTM,North America,Guatemala,1/6/2020,0
3,GTM,North America,Guatemala,1/7/2020,0
4,GTM,North America,Guatemala,1/8/2020,0
5,GTM,North America,Guatemala,1/9/2020,0
6,GTM,North America,Guatemala,1/10/2020,0
7,GTM,North America,Guatemala,1/11/2020,0
8,GTM,North America,Guatemala,1/12/2020,0
9,GTM,North America,Guatemala,1/13/2020,0
10,GTM,North America,Guatemala,1/14/2020,0
11,GTM,North America,Guatemala,1/15/2020,0
12,GTM,North America,Guatemala,1/16/2020,0
13,GTM,North America,Guatemala,1/17/2020,0
14,GTM,North America,Guatemala,1/18/2020,0
15,GTM,North America,Guatemala,1/19/2020,0
16,GTM,North America,Guatemala,1/20/2020,0
17,GTM,North America,Guatemala,1/21/2020,0
18,GTM,North America,Guatemala,1/22/2020,0
19,GTM,North America,Guatemala,1/23/2020,0
20,GTM,North America,Guatemala,1/24/2020,0
21,GTM,North America,Guatemala,1/25/2020,0
22,GTM,North America,Guatemala,1/26/2020,0
23,GTM,North America,Guatemala,1/27/2020,0
24,GTM,North America,Guatemala,1/28/2020,0
25,GTM,North America,Guatemala,1/29/2020,0
26,GTM,North America,Guatemala,1/30/2020,0
27,GTM,North America,Guatemala,1/31/2020,0
28,GTM,North America,Guatemala,2/1/2020,0
29,GTM,North America,Guatemala,2/2/2020,0
30,GTM,North America,Guatemala,2/3/2020,0
31,GTM,North America,Guatemala,2/4/2020,0
32,GTM,North America,Guatemala,2/5/2020,0
33,GTM,North America,Guatemala,2/6/2020,0
34,GTM,North America,Guatemala,2/7/2020,0
35,GTM,North America,Guatemala,2/8/2020,0
36,GTM,North America,Guatemala,2/9/2020,0
37,GTM,North America,Guatemala,2/10/2020,0
38,GTM,North America,Guatemala,2/11/2020,0
39,GTM,North America,Guatemala,2/12/2020,0
40,GTM,North America,Guatemala,2/13/2020,0
41,GTM,North America,Guatemala,2/14/2020,0
42,GTM,North America,Guatemala,2/15/2020,0
43,GTM,North America,Guatemala,2/16/2020,0
44,GTM,North America,Guatemala,2/17/2020,0
45,GTM,North America,Guatemala,2/18/2020,0
46,GTM,North America,Guatemala,2/19/2020,0
47,GTM,North America,Guatemala,2/20/2020,0
48,GTM,North America,Guatemala,2/21/2020,0
49,GTM,North America,Guatemala,2/22/2020,0
50,GTM,North America,Guatemala,2/23/2020,0
51,GTM,North America,Guatemala,2/24/2020,0
52,GTM,North America,Guatemala,2/25/2020,0
53,GTM,North America,Guatemala,2/26/2020,0
54,GTM,North America,Guatemala,2/27/2020,0
55,GTM,North America,Guatemala,2/28/2020,0
56,GTM,North America,Guatemala,2/29/2020,0
57,GTM,North America,Guatemala,3/1/2020,0
58,GTM,North America,Guatemala,3/2/2020,0
59,GTM,North America,Guatemala,3/3/2020,0
60,GTM,North America,Guatemala,3/4/2020,0
61,GTM,North America,Guatemala,3/5/2020,0
62,GTM,North America,Guatemala,3/6/2020,0
63,GTM,North America,Guatemala,3/7/2020,0
64,GTM,North America,Guatemala,3/8/2020,0
65,GTM,North America,Guatemala,3/9/2020,0
66,GTM,North America,Guatemala,3/10/2020,0
67,GTM,North America,Guatemala,3/11/2020,0
68,GTM,North America,Guatemala,3/12/2020,0
69,GTM,North America,Guatemala,3/13/2020,0
70,GTM,North America,Guatemala,3/14/2020,0
71,GTM,North America,Guatemala,3/15/2020,1
72,GTM,North America,Guatemala,3/16/2020,1
73,GTM,North America,Guatemala,3/17/2020,1
74,GTM,North America,Guatemala,3/18/2020,1
75,GTM,North America,Guatemala,3/19/2020,1
76,GTM,North America,Guatemala,3/20/2020,1
77,GTM,North America,Guatemala,3/21/2020,1
78,GTM,North America,Guatemala,3/22/2020,12
79,GTM,North America,Guatemala,3/23/2020,12
80,GTM,North America,Guatemala,3/24/2020,12
81,GTM,North America,Guatemala,3/25/2020,12
82,GTM,North America,Guatemala,3/26/2020,12
83,GTM,North America,Guatemala,3/27/2020,12
84,GTM,North America,Guatemala,3/28/2020,12
85,GTM,North America,Guatemala,3/29/2020,77
86,GTM,North America,Guatemala,3/30/2020,77
87,GTM,North America,Guatemala,3/31/2020,77
88,GTM,North America,Guatemala,4/1/2020,77
89,GTM,North America,Guatemala,4/2/2020,77
90,GTM,North America,Guatemala,4/3/2020,77
91,GTM,North America,Guatemala,4/4/2020,77
92,GTM,North America,Guatemala,4/5/2020,50
93,GTM,North America,Guatemala,4/6/2020,50
94,GTM,North America,Guatemala,4/7/2020,50
95,GTM,North America,Guatemala,4/8/2020,50
96,GTM,North America,Guatemala,4/9/2020,50
97,GTM,North America,Guatemala,4/10/2020,50
98,GTM,North America,Guatemala,4/11/2020,50
99,GTM,North America,Guatemala,4/12/2020,137
100,GTM,North America,Guatemala,4/13/2020,137
101,GTM,North America,Guatemala,4/14/2020,137
102,GTM,North America,Guatemala,4/15/2020,137
103,GTM,North America,Guatemala,4/16/2020,137
104,GTM,North America,Guatemala,4/17/2020,137
105,GTM,North America,Guatemala,4/18/2020,137
106,GTM,North America,Guatemala,4/19/2020,235
107,GTM,North America,Guatemala,4/20/2020,235
108,GTM,North America,Guatemala,4/21/2020,235
109,GTM,North America,Guatemala,4/22/2020,235
110,GTM,North America,Guatemala,4/23/2020,235
111,GTM,North America,Guatemala,4/24/2020,235
112,GTM,North America,Guatemala,4/25/2020,235
113,GTM,North America,Guatemala,4/26/2020,430
114,GTM,North America,Guatemala,4/27/2020,430
115,GTM,North America,Guatemala,4/28/2020,430
116,GTM,North America,Guatemala,4/29/2020,430
117,GTM,North America,Guatemala,4/30/2020,430
118,GTM,North America,Guatemala,5/1/2020,430
119,GTM,North America,Guatemala,5/2/2020,430
120,GTM,North America,Guatemala,5/3/2020,644
121,GTM,North America,Guatemala,5/4/2020,644
122,GTM,North America,Guatemala,5/5/2020,644
123,GTM,North America,Guatemala,5/6/2020,644
124,GTM,North America,Guatemala,5/7/2020,644
125,GTM,North America,Guatemala,5/8/2020,644
126,GTM,North America,Guatemala,5/9/2020,644
127,GTM,North America,Guatemala,5/10/2020,900
128,GTM,North America,Guatemala,5/11/2020,900
129,GTM,North America,Guatemala,5/12/2020,900
130,GTM,North America,Guatemala,5/13/2020,900
131,GTM,North America,Guatemala,5/14/2020,900
132,GTM,North America,Guatemala,5/15/2020,900
133,GTM,North America,Guatemala,5/16/2020,900
134,GTM,North America,Guatemala,5/17/2020,1643
135,GTM,North America,Guatemala,5/18/2020,1643
136,GTM,North America,Guatemala,5/19/2020,1643
137,GTM,North America,Guatemala,5/20/2020,1643
138,GTM,North America,Guatemala,5/21/2020,1643
